Symbol,fundamental_score,score_short,score_medium,score_long,combined_strength
PIIND.NS,30,10,10,10,10.0
DBREALTY.NS,50,10,10,10,10.0
AFFLE.NS,30,10,10,10,10.0
THELEELA.NS,30,10,10,10,10.0
BALKRISIND.NS,30,10,10,10,10.0
FINPIPE.NS,65,10,10,10,10.0
AKUMS.NS,55,10,10,10,10.0
ABLBL.NS,10,10,10,10,10.0
NIVABUPA.NS,40,10,10,10,10.0
INDIAMART.NS,30,10,10,10,10.0
DIXON.NS,30,10,10,10,10.0
SJVN.NS,40,10,10,10,10.0
POWERGRID.NS,55,10,10,10,10.0
RELINFRA.NS,80,10,10,10,10.0
HONAUT.NS,30,10,10,10,10.0
RCF.NS,65,10,10,10,10.0
RITES.NS,30,10,10,10,10.0
KIRLOSBROS.NS,30,10,10,10,10.0
HSCL.NS,30,10,10,10,10.0
TARIL.NS,30,10,10,10,10.0
